sales_person,sales_department,amount,quantity,street,city,state,item_id,date
Brear Fairs,Department D,$15.48,62,230 Barnett Avenue,Kansas City,Missouri,62c351973bbe3e131ce3f6cd702f026a,3/25/2017
Brear Fairs,Department D,$61.12,55,700 Lerdahl Pass,Shawnee Mission,Kansas,d34daedd31275383579fb0f88d71bbc5,8/3/2016
Ortensia Le,Department C,$6.06,80,80 Lunder Center,Erie,Pennsylvania,b9df97999d427f1426424b2b42d9929a,11/25/2016
Nell Lindup,Department C,$60.25,94,0890 Springview Way,Raleigh,North Carolina,3a523ee736d967d960ccb0f0f567fd1d,2/13/2017
Nell Lindup,Department C,$69.12,48,12280 American Ash Terrace,Charleston,West Virginia,dfa9219af57621b8c72e94222c773be3,2/6/2017
Dallas Le,Department B,$49.48,86,4 Northport Alley,Tacoma,Washington,06d01a5e6bb83cf3ec3785ad4287c08a,5/30/2017
Krystle Boothe,Department D,$77.98,48,8864 Independence Terrace,Springfield,Illinois,c386500c37c9e7c61b0349f12ab5915c,7/5/2016
Ortensia Le,Department C,$72.57,66,0011 Dixon Pass,Los Angeles,California,0f4c7ae1707ff088dfe6fc8325cad100,7/4/2017
Krystle Boothe,Department D,$38.28,40,36 American Ash Place,Inglewood,California,28b9f97d592b1352de232c6e07ac6132,1/4/2016
Chad Yeatman,Department A,$28.86,85,327 Ohio Road,Kansas City,Missouri,5f8199ff0ef77c6230af6b51503d93ef,8/2/2016
Ortensia Le,Department C,$84.00,57,4824 5th Terrace,Wichita,Kansas,e3379a4c8e1b98bea6c49d868b629d3c,4/25/2017
Chad Yeatman,Department A,$6.05,84,81550 Blue Bill Park Court,Philadelphia,Pennsylvania,6f5824c655308e4ff2d5100a3440a591,12/23/2016
Ignacio Arpur,Department A,$53.56,80,3602 Hintze Junction,Maple Plain,Minnesota,c56d00326083ff0cb257610b6213f425,4/26/2016
Brear Fairs,Department D,$83.42,82,5 Main Place,Sacramento,California,cc74634137c9972838ad3a194e671ac2,5/18/2016
Powell Amorts,Department B,$11.20,85,31 Petterle Junction,Dayton,Ohio,3f7151966bb93f12a6b612dc33620fc4,12/2/2016
Ignacio Arpur,Department A,$49.37,74,272 Knutson Avenue,Philadelphia,Pennsylvania,fa88b4cab39b80abe063da5f722e14b6,7/8/2016
Ortensia Le,Department C,$78.86,98,4 Butternut Hill,Pasadena,California,73701699b215c9f057eb46ba3785fbab,9/13/2016
Brear Fairs,Department D,$62.99,100,7 Cottonwood Trail,Detroit,Michigan,ef9b17cbf476f754b8944d4e8ba82262,4/7/2017
Dallas Le,Department B,$49.86,79,8 Myrtle Way,Champaign,Illinois,8eb65310ad297b2b9ce7007568430351,12/17/2016
Ignacio Arpur,Department A,$54.69,38,037 Nancy Junction,Atlanta,Georgia,a792628150628d88a59ffcbdfde56a94,6/21/2017
Powell Amorts,Department B,$80.66,84,51 Glendale Alley,Aurora,Colorado,1f68998f37cbdd6915d11d5bc5c6419b,1/19/2016
Nell Lindup,Department C,$77.17,19,66 Messerschmidt Place,Schenectady,New York,581ff21d05f6deac0a68fe73c6a30817,4/3/2017
Ashleigh Baudinot,Department D,$23.80,99,6 Bowman Circle,Nashville,Tennessee,fbdc7bfcbd4e2d00e469d3e9ebf2782d,3/27/2017
Ortensia Le,Department C,$43.10,59,2 Schlimgen Park,Wilkes Barre,Pennsylvania,e85d0734c1b4df24f963372657500917,1/19/2017
,,,56,9152 Old Gate Avenue,Columbia,South Carolina,17f5ff321dce5a271006bf9d5421f6c0,1/19/2016
Brear Fairs,Department D,$59.39,79,2119 Cascade Trail,Montpelier,Vermont,0db96f80191626146c6deb49da51a00b,10/8/2016
Krystle Boothe,Department D,$40.59,53,0 Eggendart Drive,Southfield,Michigan,e7e8af726176874a5d719cf3405c37aa,7/3/2017
Shena Reeson,Department B,$45.53,66,4 Riverside Trail,Miami,Florida,ed3bb65bdf5c579bc8fd1c3e27b33c10,3/10/2017
Ashleigh Baudinot,Department D,$68.90,92,13 Grim Pass,Riverside,California,668daa151afedcad6e642bf7e4ffcd3d,4/29/2016
Linn Becerra,Department B,$68.32,75,18990 Chive Park,San Jose,California,6af144175469d3949168f313208b436d,3/4/2017
Shena Reeson,Department B,$86.63,19,464 Clarendon Lane,Brooklyn,New York,4e9a7f1c4163674e3c9f455ed3b4f74d,7/12/2017
Atlante Harower,Department D,$42.61,22,22 Corscot Pass,Kingsport,Tennessee,36c7800ebd1f93a102f556592b86b45d,7/23/2016
Krystle Boothe,Department D,$39.67,28,454 Eastlawn Circle,Minneapolis,Minnesota,fae8736e9980f28dd3fa80b0555d7fe5,6/20/2017
Zaneta Delmage,Department B,$13.66,91,6228 Vernon Hill,Bronx,New York,f3a4192c2a5bab08b2251daf49f30c9e,11/8/2016
Ortensia Le,Department C,$53.99,95,20039 Sutherland Park,Nashville,Tennessee,318c637a49a0ab70f4814bcb5e168640,3/19/2017
Zebedee Kedge,Department A,$62.91,59,61 Monterey Circle,Austin,Texas,2beeec1ee9ab605086b59034b1ea8e30,6/2/2017
Linn Becerra,Department B,$80.37,44,1 Anhalt Street,Riverside,California,3587ad6e4696a5d9eded99a8105138bc,7/3/2016
Bartholemy Kment,Department B,$9.85,77,228 Macpherson Avenue,Panama City,Florida,ee202de1077f0736cbd05daafacd237a,7/17/2017
Nell Lindup,Department C,$50.67,98,1 Esker Junction,Wilmington,Delaware,71cdbaafa0b853f45b48ed171bd8e7e0,7/27/2017
Atlante Harower,Department D,$5.18,37,03004 Tony Parkway,Fresno,California,93bb59ab5a7aed2d7a4f10614d845cb0,6/24/2016
,,,62,14104 Northport Circle,Saint Petersburg,Florida,49a46344b385f28d44a7fab924e4f306,7/31/2017
Krystle Boothe,Department D,$96.60,44,5 Sloan Trail,Cleveland,Ohio,bf0ffae4bdadde3f159b90ccaa3a4bc0,7/21/2017
Shena Reeson,Department B,$6.06,12,17 Cambridge Drive,Philadelphia,Pennsylvania,ccb11783d1695667f2227d37d3d3f4e5,1/23/2016
Zaneta Delmage,Department B,$38.02,43,09906 Dryden Hill,Salt Lake City,Utah,519493c358a48c2410f3db10eef76558,5/6/2017
Zebedee Kedge,Department A,$91.78,21,541 Leroy Way,Mesa,Arizona,e4239262538d34e67964ce776f453f18,7/12/2016
Krystle Boothe,Department D,$19.98,37,1199 Pawling Center,Nashville,Tennessee,d35cd9052e7b6d2f9ab0bf7b0a9b93f7,8/26/2017
Modesty Berringer,Department D,$90.36,27,9 Redwing Court,Washington,District of Columbia,fc689d45141231af2d8088849c4386c6,7/3/2016
Rutherford Kermath,Department D,$94.81,36,43 Carioca Park,Vancouver,Washington,145673a24af18fd9d3ebb727ee75efd8,1/11/2017
Ortensia Le,Department C,$70.45,63,88 Ridgeview Junction,Washington,District of Columbia,2970f79c2f5df5df65363004ed1f1369,10/24/2016
Ignacio Arpur,Department A,$55.57,34,96183 Scofield Way,Cincinnati,Ohio,e2deff005c3a60fe255c548adda31d79,2/3/2017
Brear Fairs,Department D,$14.55,100,633 Texas Circle,Seattle,Washington,e99f487ecc15eed66b425c111b7eeab0,6/12/2017
Modesty Berringer,Department D,$44.97,41,31 Calypso Center,New York City,New York,ea252f089a2dc2548a8308c564874a53,4/26/2017
Brear Fairs,Department D,$6.53,79,56 Erie Park,Portland,Oregon,1a03ba10178bedeecd385fe807ce7141,4/16/2016
Celestyna Erskine,Department C,$7.14,48,6001 Dexter Road,Detroit,Michigan,ba7f082b54d78fcff871bb61e1c2806e,5/7/2016
Rutherford Kermath,Department D,$52.63,78,5746 Carpenter Road,Sacramento,California,a24f4fea4528b8d93e028d7628b62b78,7/15/2016
Modesty Berringer,Department D,$55.55,87,987 Nancy Drive,New Haven,Connecticut,23df19abd396e747460983327cb825f2,10/31/2016
Zaneta Delmage,Department B,$12.74,84,888 Bayside Park,Pittsburgh,Pennsylvania,77f6b59fc706690c11d36cdf8122356e,4/4/2017
Bartholemy Kment,Department B,$38.13,18,0135 Macpherson Parkway,Orange,California,c2c01fc6c284788d7549e4c10dda0ada,1/2/2016
Atlante Harower,Department D,$12.60,56,9 Mifflin Street,Temple,Texas,2b010ac55ba41e1c5a15f4133c44b746,1/19/2016
Nell Lindup,Department C,$78.03,45,783 Lotheville Court,Waterloo,Iowa,42f82b52b41015f247f524f223d83907,10/24/2016
Celestyna Erskine,Department C,$21.32,22,105 Doe Crossing Terrace,Jacksonville,Florida,3a7337c4ee72407cef89caf38e6c9368,6/23/2016
Linn Becerra,Department B,$59.97,3,72521 Schurz Park,Philadelphia,Pennsylvania,4a22988caee63ed481294b8de83aaaa5,6/9/2016
Linn Becerra,Department B,$51.52,35,1000 Waxwing Park,Shawnee Mission,Kansas,1d92ebb737cf3de4f697146f6f840f8f,1/18/2017
Ignacio Arpur,Department A,$10.01,32,64270 Eagan Hill,Washington,District of Columbia,bfc3ff886159800bd0642c6b9021debe,3/1/2017
Brear Fairs,Department D,$92.96,51,8 Daystar Junction,Tulsa,Oklahoma,d740c7dccb832ca7bbe200bd424f47fe,3/26/2016
Ignacio Arpur,Department A,$22.01,64,73494 Ronald Regan Crossing,Corpus Christi,Texas,a2f5bcc2e9cdd527f327c919071c479e,12/14/2016
Celestyna Erskine,Department C,$26.67,9,381 Rowland Hill,Long Beach,California,0fc663c483f39e5640fbc03821824654,5/31/2017
Powell Amorts,Department B,$58.71,79,6900 Spaight Hill,Bloomington,Indiana,e486ac004c5029c657fa489a462256f5,7/8/2017
Shane Simkins,Department B,$1.41,42,59730 Carey Street,Fort Worth,Texas,103097c7e403949d7597f0d419f46701,8/17/2016
Linn Becerra,Department B,$39.16,67,58522 Hanover Road,Topeka,Kansas,58fa85e2fb5cc2360c7b7cfaae57e3c0,4/25/2016
Ignacio Arpur,Department A,$47.46,100,26233 High Crossing Pass,Norman,Oklahoma,5feab3a8c828ab8f98ae528e9d1f9bc3,6/19/2017
Ignacio Arpur,Department A,$94.64,39,775 Emmet Avenue,Topeka,Kansas,226b55f730e8d723b7d360e2db4f211c,2/12/2016
Atlante Harower,Department D,$67.35,2,670 Kings Point,Fargo,North Dakota,64784e4d80d5f7e6f343dff14f6e9087,9/24/2016
Ortensia Le,Department C,$76.16,34,977 Jackson Circle,Atlanta,Georgia,a6bfa43dce828f93068cf83f7a02834d,3/3/2017
Zebedee Kedge,Department A,$92.23,12,38030 Buena Vista Avenue,Washington,District of Columbia,f2f43521dce46429c3c36c1e7e6fe25a,8/24/2017
Celestyna Erskine,Department C,$94.06,47,2 Corry Crossing,White Plains,New York,c942a155f4f5a493c737eada9e2ac1ac,5/15/2016
Shena Reeson,Department B,$53.68,4,61 Lukken Road,Baltimore,Maryland,85f308f36ea479b91e3060545f3f7c81,3/31/2017
Gothart Whimpenny,Department C,$27.02,53,707 Hoard Park,Fresno,California,d2444e8e99e15c73e72153ab4ebf05cd,3/11/2017
Linn Becerra,Department B,$53.59,51,1 Lukken Court,Jackson,Mississippi,7a2f85ed719bd4e7e23c8fa67d31e06a,9/2/2016
Nell Lindup,Department C,$85.72,69,68 Lakewood Gardens Terrace,Los Angeles,California,775366795912af2f72876db7c085db2c,3/28/2017
Shena Reeson,Department B,$80.00,37,93 Gateway Lane,Plano,Texas,63482d3958aa62ac160f58d22611e83a,4/25/2017
Chad Yeatman,Department A,$13.25,42,5 8th Terrace,Long Beach,California,3514109e6d52f101de703e34f9e92577,9/9/2016
Dallas Le,Department B,$94.79,94,03 Jackson Circle,Port Washington,New York,3a7f4fc1edf7cb57f1ba8dd6818d626a,1/19/2016
,,,50,55746 Di Loreto Park,Memphis,Tennessee,d5fcb1aa067e65596bc85fa25dd091e6,8/14/2016
Modesty Berringer,Department D,$6.32,53,27000 Spaight Plaza,Colorado Springs,Colorado,6155a22df20e2ec285f3b76aa927bb1c,3/14/2017
Linn Becerra,Department B,$26.47,38,32 Reinke Crossing,San Francisco,California,5c0bfa4bf27074a61d936b3b19a093c9,7/17/2017
Jacquette Oakley,Department C,$42.55,56,4 Manley Way,Ogden,Utah,5828a2ac781e6bb460e1b97b969107c6,6/13/2017
Zaneta Delmage,Department B,$44.91,18,4 Carioca Center,New York City,New York,fba3a5d053d8b2d9f114d0f5edfedd16,8/2/2017
Krystle Boothe,Department D,$30.39,77,774 Pankratz Alley,Fresno,California,d914f89d84423af5ae591f8adfd77588,11/2/2016
Gothart Whimpenny,Department C,$83.24,91,172 Onsgard Avenue,Erie,Pennsylvania,8727dd2f56f2fe8873a756efc325f444,4/22/2017
Krystle Boothe,Department D,$42.00,90,21374 Messerschmidt Avenue,Boulder,Colorado,11067224fa22d28b396a75e4fd38fea0,10/22/2016
Powell Amorts,Department B,$50.15,74,03 Reindahl Trail,Macon,Georgia,03bb00ece2d3643434edcc1a1fd22986,5/21/2016
Dallas Le,Department B,$21.52,7,2 Springview Lane,Saint Petersburg,Florida,bbe5645fa93f2bed76f3d23952c97ba3,8/19/2016
Rutherford Kermath,Department D,$19.83,73,36115 Hintze Circle,Lake Worth,Florida,f380b47acd7e72b6497e7d585b174c75,10/26/2016
Atlante Harower,Department D,$11.45,79,50185 Autumn Leaf Circle,Beaumont,Texas,51f8e3fedb14ff027e42785afe1c0d46,3/11/2017
Modesty Berringer,Department D,$92.60,88,981 Stoughton Point,Tucson,Arizona,7eb3bb4b7101f5f5b550b09aa91a1054,1/30/2017
Jacquette Oakley,Department C,$10.68,74,409 Waxwing Drive,Springfield,Illinois,2bc0ed245cf01c1a58fbc731db039e74,8/8/2016
Nell Lindup,Department C,$70.06,50,8 Blue Bill Park Way,New Orleans,Louisiana,5db930ea9d7f8e99574b04ba9d7fb735,1/8/2017
Shane Simkins,Department B,$83.35,5,5 Texas Trail,Philadelphia,Pennsylvania,96fc24dc1a3c3ea1c7603c040db0c3cf,3/19/2017
Gothart Whimpenny,Department C,$77.40,31,679 Mandrake Circle,Fairfield,Connecticut,3f2e28b226516fedea835b335f4af585,5/9/2016
Atlante Harower,Department D,$69.42,43,81 Waxwing Park,Miami,Florida,3103c485c11c0afbca1e606d00c9a762,2/13/2016
Nell Lindup,Department C,$0.82,71,89 Superior Road,Tuscaloosa,Alabama,624b589ae96ccf404500b524ab30ee62,7/23/2016
,,,22,64 Ramsey Lane,Hamilton,Ohio,5f581c9f31f7593a9d3a113e83a271c4,8/5/2016
Brear Fairs,Department D,$6.63,3,622 Brown Avenue,Washington,District of Columbia,54ac9f990a6bb575f9c8173c4a1cddde,2/19/2017
Bartholemy Kment,Department B,$75.59,64,28098 Maple Center,Mesa,Arizona,be6357544a94e82ad3975eb89c5756b2,5/21/2017
Ortensia Le,Department C,$22.62,59,7769 Shelley Terrace,San Francisco,California,fda84cd636f7da8a6eed9dd1bdca5e44,12/8/2016
Celestyna Erskine,Department C,$25.38,58,60 Scott Road,Philadelphia,Pennsylvania,bdc2e2ab7b685b65a645ad3b57037094,7/31/2016
Ashleigh Baudinot,Department D,$43.57,90,982 Center Street,Houston,Texas,a16fc1b4695757bd6143c4a514a366f0,8/2/2016
Linn Becerra,Department B,$68.83,8,924 Carioca Place,Wilkes Barre,Pennsylvania,b784fe8c2d92e5d05e5270e47ad85ec0,1/4/2017
Krystle Boothe,Department D,$37.89,45,73046 Darwin Park,Sacramento,California,e4c348e9aff06592b970996ba278b026,1/1/2017
Nell Lindup,Department C,$19.50,61,7647 Blue Bill Park Plaza,Akron,Ohio,2962db913007cba53f874049adab3e11,4/29/2017
Zaneta Delmage,Department B,$67.93,6,330 Hoffman Center,Santa Barbara,California,968227e7a4e3e1509949ce77ffafc4c7,6/30/2016
Jacquette Oakley,Department C,$41.45,35,518 Briar Crest Lane,Fairbanks,Alaska,ad88364b8c9be149e4b4c5c3e9063c6e,6/7/2017
Shane Simkins,Department B,$2.79,9,45448 Village Green Lane,Charlotte,North Carolina,76dfa8673e52a5cd1a6ec6ab88b5a744,8/26/2017
Bartholemy Kment,Department B,$13.40,65,72454 Monica Avenue,Corpus Christi,Texas,72e1b13f0fad4e68d01b2243813b2b32,9/28/2016
Krystle Boothe,Department D,$45.26,3,240 Swallow Trail,New York City,New York,3d1df4a3a33c1155a9f9512e75b57724,8/8/2016
Krystle Boothe,Department D,$96.20,98,84 Kim Avenue,Olympia,Washington,26746a1b60d0716acf3d53cc059edee5,2/24/2016
Jacquette Oakley,Department C,$51.74,66,3 Butternut Trail,Lincoln,Nebraska,333c0853dc52638b80b21c142813bbb6,8/19/2017
Nell Lindup,Department C,$75.80,8,9 Monument Point,Sacramento,California,6d655218b36d9bbd3eebd077e437c4db,5/15/2017
Zebedee Kedge,Department A,$1.63,19,57198 Shasta Avenue,Arlington,Texas,b368b80cdd1542414554926c5f30de5a,10/13/2016
Jacquette Oakley,Department C,$28.47,80,96539 Goodland Plaza,Atlanta,Georgia,fb05c601799efddf5fe41f7282ad4de2,4/10/2017
Brear Fairs,Department D,$6.86,85,4961 Farragut Avenue,Fresno,California,045cfbb6cc6f24a712cccf35af5ac054,4/20/2017
Rutherford Kermath,Department D,$93.24,34,0125 Swallow Pass,Charleston,South Carolina,fa68be6cd0f4865912ef1e21a80a74f5,8/6/2017
Atlante Harower,Department D,$73.04,18,95540 Eastwood Terrace,Manchester,New Hampshire,95dbdbebc260da3c3db54cb9246c5b4d,5/4/2017
Celestyna Erskine,Department C,$81.00,86,3 Pond Junction,Seattle,Washington,d08450e853cc99767b13c8254b33d67c,4/27/2017
Celestyna Erskine,Department C,$11.29,62,89343 Hermina Way,Gainesville,Florida,4b0200aa200514d7b04370352d1aeb2f,2/3/2016
Zaneta Delmage,Department B,$66.55,40,8 Steensland Road,Wichita,Kansas,b2b9ab65ce76f739e91a0dcff804507c,4/29/2016
Rutherford Kermath,Department D,$80.45,50,96 Victoria Alley,Topeka,Kansas,d5e3202b8342bc0307b71addf7f8f8dc,2/26/2016
Linn Becerra,Department B,$11.65,53,2 Dakota Lane,Daytona Beach,Florida,a24fb574cb77a055225f8a8596bdf0dd,4/8/2017
Atlante Harower,Department D,$66.45,91,881 Linden Crossing,Harrisburg,Pennsylvania,6329a28d18ceb5a64a3d3d873aca14ce,4/2/2016
Nell Lindup,Department C,$36.79,33,662 Memorial Terrace,Young America,Minnesota,55e72da0186bc02680ba9c46455d8bb0,6/12/2017
Celestyna Erskine,Department C,$79.83,63,5 1st Road,Tampa,Florida,0aa967bb8ed09c88997886945c168055,4/9/2017
Shane Simkins,Department B,$55.96,51,52971 Dwight Terrace,Columbia,South Carolina,fcaf0ad75e5d7549f857a0254b54270b,4/26/2017
Atlante Harower,Department D,$85.77,34,0523 Judy Street,Anchorage,Alaska,c379339762eeff97a0b70186ad7fdc29,7/14/2016
Zaneta Delmage,Department B,$64.04,76,38 Helena Crossing,Huntington,West Virginia,f37e13a2fde1967e104deda7ae8136f9,2/6/2016
Celestyna Erskine,Department C,$79.37,49,928 Eggendart Park,Littleton,Colorado,a498a0a5fc0c9607cb9ad35a49c725e8,7/19/2017
Powell Amorts,Department B,$92.38,89,0 Lighthouse Bay Circle,Tucson,Arizona,74de9c0e6abaa75d7ec4b54ef96d326e,9/26/2016
Modesty Berringer,Department D,$74.84,89,1505 Mcbride Parkway,Lehigh Acres,Florida,ed7893be59842e1c9448a25dc9e5b446,6/15/2016
Rutherford Kermath,Department D,$68.29,75,22 Becker Crossing,Tacoma,Washington,8061f38f2a3b6e276cacde614640560a,1/13/2016
Ashleigh Baudinot,Department D,$54.45,99,6947 Fuller Alley,Anchorage,Alaska,47a5de26f65a31e5b83ecab4aa854bf6,3/11/2017
Linn Becerra,Department B,$49.61,39,92596 Pankratz Point,Burbank,California,bf21a83c3482ecbc4ae0b4907c3c81ee,8/21/2017
Shena Reeson,Department B,$45.12,93,1 Londonderry Parkway,Memphis,Tennessee,14aab98b04e6a2e07f8a25a3beacaf25,7/15/2016
Brear Fairs,Department D,$4.27,28,6 Village Trail,Columbia,South Carolina,c485eb07f8e40c037343a89d70ba6ae7,1/17/2017
Shane Simkins,Department B,$12.21,15,27845 Upham Way,Jamaica,New York,65d2f90f9cec819b58608dfcfd4aa06d,1/5/2017
Rutherford Kermath,Department D,$17.32,52,93 Sloan Center,Roanoke,Virginia,2f68e840db56ac6cccab85c319819594,6/11/2017
Shane Simkins,Department B,$7.45,90,18 Stone Corner Place,Nashville,Tennessee,63439b122894012bdc07c27802453a58,9/28/2016
Shane Simkins,Department B,$14.63,86,79 Erie Street,San Diego,California,44ca3807c354b60dcf077ff362256d82,1/11/2016
Gothart Whimpenny,Department C,$71.38,93,80 Oak Valley Plaza,Atlanta,Georgia,7f511b795c65dd16c8ff301bab51d6c3,9/22/2016
Zaneta Delmage,Department B,$58.98,57,21 Hazelcrest Court,Albany,New York,394131568cb2b9dc8d1d939983fb1ad7,8/27/2016
Zebedee Kedge,Department A,$63.38,80,872 Summer Ridge Plaza,Bronx,New York,c67ef295bfc30ec4a1ebda422e702cb7,1/3/2017
Powell Amorts,Department B,$31.23,12,44 Laurel Avenue,Miami,Florida,cd7e70812a7fd980674ea3c968cf7c65,6/5/2017
Jacquette Oakley,Department C,$83.34,4,74 Pearson Road,Atlanta,Georgia,b973e1cff4bd2f3c10b716d327f58d98,1/15/2017
Rutherford Kermath,Department D,$34.76,60,79 Prairie Rose Alley,Houston,Texas,c11c82e4a16f918872956e4997acbeeb,1/7/2016
Dallas Le,Department B,$27.17,94,39 1st Crossing,New York City,New York,6d8c8850342b8daf26e200154fe72abf,1/18/2017
Dallas Le,Department B,$6.57,38,77 Annamark Park,Charleston,West Virginia,549e9b8a5160d74009dc04a8173fa778,1/18/2017
Atlante Harower,Department D,$15.95,41,3 Rowland Circle,College Station,Texas,6d806382b735f8b80ab5b58e909558c6,3/23/2017
Atlante Harower,Department D,$78.18,29,1438 Lake View Avenue,New York City,New York,88e19c1877408c5cb69e58f8f95e1878,4/27/2017
Brear Fairs,Department D,$93.58,32,202 Ryan Terrace,Jacksonville,Florida,2652527084e07143da9dc7ff9a62f3b9,8/22/2016
Gothart Whimpenny,Department C,$96.58,15,808 Lakewood Way,Houston,Texas,9dfb3cbb1d26227c3d81818fa7a82e6c,12/16/2016
Shena Reeson,Department B,$75.11,72,810 Bunting Parkway,Nashville,Tennessee,d69210f721987da1358d172a3ba7f38f,10/19/2016
Modesty Berringer,Department D,$66.68,42,021 Prentice Junction,Dayton,Ohio,508071959d24547b76740b8c84462f75,7/5/2017
Jacquette Oakley,Department C,$10.22,32,8 Oriole Park,Philadelphia,Pennsylvania,85e92f1b584ab90c260fcfabb4d17551,4/16/2016
Powell Amorts,Department B,$4.75,82,45 Brentwood Alley,Newark,New Jersey,0f84345764f05e0f3112feffa099d096,5/15/2016
Linn Becerra,Department B,$95.63,86,15448 Forest Dale Park,Indianapolis,Indiana,b95fcb063bca365ec32a1ebc9ea3b016,5/5/2016
Bartholemy Kment,Department B,$39.77,55,879 Ludington Point,Baton Rouge,Louisiana,a59f03b78170bd24485fbbc155c99be3,12/17/2016
Dallas Le,Department B,$26.98,22,6500 Kipling Way,New Brunswick,New Jersey,d06998e04091bb7719132189c1cbaa14,5/3/2017
Gothart Whimpenny,Department C,$31.49,52,577 Dorton Plaza,Portsmouth,Virginia,ce18dedb3e778984c38d883b886f9e06,5/29/2017
Ashleigh Baudinot,Department D,$90.06,59,739 Hintze Road,Baltimore,Maryland,255fd5d567cb61466ec6f7b72f970ba5,9/21/2016
Atlante Harower,Department D,$7.05,79,9564 Dovetail Junction,Erie,Pennsylvania,9601833c4510921b56971067d3c7699c,10/17/2016
Shane Simkins,Department B,$19.01,2,4731 Lawn Place,Cleveland,Ohio,da8082017541cffd6115e8c31693e518,8/1/2017
Rutherford Kermath,Department D,$77.98,67,83 Tennessee Point,Corpus Christi,Texas,f5a92bc42fad67b009ba4d744efe035f,2/16/2016
Nell Lindup,Department C,$91.64,26,9916 Monica Place,Pensacola,Florida,3f96d59e83991535e0e08d15a7983ec5,9/6/2016
Dallas Le,Department B,$9.60,96,788 Erie Street,Lexington,Kentucky,60112b77c13fb62c1305e561ff8c3aee,3/25/2016
Rutherford Kermath,Department D,$35.81,17,16 Summer Ridge Crossing,Fullerton,California,bc7d10a4e423c2865bed00bc8a6ff4f8,1/26/2016
Zaneta Delmage,Department B,$67.83,87,866 Starling Street,Olympia,Washington,db5d66e2eca20462b9da2b85e7503748,4/7/2017
Rutherford Kermath,Department D,$54.94,42,27 Evergreen Way,Kansas City,Missouri,ef284e387b271c12bdfb0a753b890168,8/2/2017
Shane Simkins,Department B,$26.93,71,16 Amoth Drive,Gatesville,Texas,59fa10b34e920561b9163af8a2b3dbe5,11/4/2016
Brear Fairs,Department D,$22.00,62,1813 Delladonna Lane,Baton Rouge,Louisiana,bf5c303377bcceb8cd81253915b44fb7,7/19/2017
Linn Becerra,Department B,$19.41,89,823 Acker Terrace,New York City,New York,144d6a44333b057e0bf121b011bada35,5/4/2017
